melodieid,count,decade
2486,9,1610
6515,9,1610
6374,9,1610
2434,9,1610
3016,8,1610
5410,8,1610
3603,8,1610
4167,7,1610
3952,7,1610
3540,7,1610
2441,7,1610
7934,7,1610
7925,7,1610
7280,7,1610
2697,7,1610
3998,6,1610
7763,6,1610
7388,6,1610
5273,6,1610
692,6,1610
7206,6,1610
4057,6,1610
3934,6,1610
9086,6,1610
7787,6,1610
9270,6,1610
7208,5,1610
4088,5,1610
6107,5,1610
926,5,1610
359,5,1610
9073,5,1610
3842,5,1610
12614,5,1610
3247,5,1610
4184,5,1610
5335,5,1610
4240,4,1610
1379,4,1610
6543,4,1610
7317,4,1610
4459,4,1610
168,4,1610
3059,4,1610
8256,4,1610
3685,4,1610
5777,4,1610
8770,4,1610
8867,4,1610
7238,4,1610
4922,4,1610
6488,4,1610
3628,4,1610
7900,4,1610
8665,4,1610
1916,4,1610
3814,4,1610
4215,4,1610
2530,3,1610
7266,3,1610
7268,3,1610
4050,3,1610
5781,3,1610
1935,3,1610
9318,3,1610
3696,3,1610
4918,3,1610
7754,3,1610
9795,3,1610
341,3,1610
285,3,1610
7161,3,1610
3979,3,1610
4760,3,1610
6851,3,1610
8633,3,1610
8763,3,1610
441,3,1610
2214,3,1610
5945,2,1610
2019,2,1610
7191,2,1610
7255,2,1610
9256,2,1610
2260,2,1610
1455,2,1610
3169,2,1610
7888,2,1610
5774,2,1610
3305,2,1610
7395,2,1610
2614,2,1610
5351,2,1610
13558,2,1610
4018,2,1610
2487,2,1610
283,2,1610
7071,2,1610
7809,2,1610
13808,2,1610
9163,2,1610
93,2,1610
1918,2,1610
6537,2,1610
2437,2,1610
6399,2,1610
1242,2,1610
6425,2,1610
6740,2,1610
5921,2,1610
12765,2,1610
771,2,1610
487,2,1610
7167,2,1610
2706,2,1610
7413,2,1610
8007,2,1610
7257,2,1610
56,2,1610
4969,2,1610
4129,2,1610
7176,2,1610
7851,2,1610
7173,2,1610
3906,2,1610
2212,2,1610
7160,2,1610
12792,2,1610
5823,2,1610
3920,2,1610
1946,2,1610
652,2,1610
4630,2,1610
4138,2,1610
9389,2,1610
5226,2,1610
1014,2,1610
5366,2,1610
3663,2,1610
1231,2,1610
3522,2,1610
6732,2,1610
9354,2,1610
3664,2,1610
6936,2,1610
7185,1,1610
8349,1,1610
2130,1,1610
3490,1,1610
6637,1,1610
8656,1,1610
4220,1,1610
9861,1,1610
6266,1,1610
3568,1,1610
5919,1,1610
4276,1,1610
1462,1,1610
7753,1,1610
3259,1,1610
4735,1,1610
1288,1,1610
4850,1,1610
4168,1,1610
3690,1,1610
4326,1,1610
4128,1,1610
2246,1,1610
2529,1,1610
6967,1,1610
9032,1,1610
11094,1,1610
7013,1,1610
3694,1,1610
5785,1,1610
5491,1,1610
293,1,1610
8361,1,1610
6643,1,1610
6701,1,1610
10623,1,1610
12794,1,1610
67,1,1610
7181,1,1610
191,1,1610
7221,1,1610
7537,1,1610
3164,1,1610
5309,1,1610
5173,1,1610
7362,1,1610
7928,1,1610
7215,1,1610
4081,1,1610
7364,1,1610
4104,1,1610
2479,1,1610
5112,1,1610
4709,1,1610
11292,1,1610
3159,1,1610
7422,1,1610
8638,1,1610
2450,1,1610
7921,1,1610
4966,1,1610
2438,1,1610
6587,1,1610
3563,1,1610
4196,1,1610
2820,1,1610
3652,1,1610
1904,1,1610
1720,1,1610
2040,1,1610
3147,1,1610
551,1,1610
773,1,1610
529,1,1610
7932,1,1610
2501,1,1610
4895,1,1610
427,1,1610
387,1,1610
828,1,1610
2699,1,1610
3227,1,1610
6124,1,1610
3728,1,1610
3564,1,1610
9723,1,1610
2209,1,1610
3024,1,1610
3981,1,1610
1013,1,1610
2516,1,1610
4934,1,1610
351,1,1610
1056,1,1610
7415,1,1610
4069,1,1610
2431,1,1610
7169,1,1610
9878,1,1610
8920,1,1610
1579,1,1610
6257,1,1610
2983,1,1610
3774,1,1610
4979,1,1610
621,1,1610
