location,decade,pop_estimate,error
Delft,1690,21253.36842105263,0.11435091403467929
Groningen,1690,19585.947368421053,0.076177065726501
Zwolle,1690,13047.736842105265,0.07869079937234556
Heerenveen,1690,1181.7631578947369,0.07266127775179824
Woerden,1690,2530.184210526315,0.11344087699044178
Dokkum,1690,3078.5526315789475,0.07244518528016414
Gouda,1690,16106.894736842107,0.11284477716309789
Gorinchem,1690,6351.5,0.11432442398604556
Leeuwarden,1690,16381.236842105265,0.06610097881562212
Steenwijk,1690,1498.2368421052631,0.0787241143098028
Vlissingen,1690,6640.473684210527,0.1415522037901545
Middelburg,1690,28958.263157894737,0.08265979894839544
Veere,1690,1264.3157894736842,0.1943843143784864
Zaandam,1690,10605.131578947368,0.08082730554969657
Alkmaar,1690,12572.947368421053,0.08420543690295779
Enkhuizen,1690,14828.473684210527,0.11527608690250976
Antwerpen,1700,62776.8717948718,0.07702657111185006
Ieper,1700,12416.48717948718,0.08598782016466963
Duinkerken,1700,13089.128205128205,0.08960460433007614
Brugge,1700,33126.333333333336,0.07720173043833008
Gent,1700,51140.61538461538,0.08057322094336178
Brussel,1700,81460.99999999999,0.08635278986735453
Leuven,1700,14379.538461538461,0.0772607800970753
Amsterdam,1700,200227.74358974362,0.05744305010627657
Den Haag,1700,27533.615384615383,0.1027964883950712
Rotterdam,1700,27610.30769230769,0.10506574096259114
Haarlem,1700,40819.64102564102,0.07675540809288654
Utrecht,1700,27520.538461538457,0.1279091326664188
Hoorn,1700,13592.48717948718,0.10599935484722904
Dordrecht,1700,18622.794871794875,0.10601564941779368
Deventer,1700,7368.5641025641025,0.1283832218641909
Leiden,1700,54992.84615384616,0.07325614846872867
Delft,1700,21484.743589743597,0.1059976966362541
Groningen,1700,19660.589743589742,0.07793542463577403
Zwolle,1700,12908.230769230771,0.08005029587561907
Heerenveen,1700,1193.8717948717947,0.06907068147161778
Woerden,1700,2685.615384615385,0.1047938208308276
Dokkum,1700,3073.769230769231,0.06894566931104389
Gouda,1700,16980.897435897437,0.10443409260783242
Gorinchem,1700,6456.358974358975,0.10596192185799727
Leeuwarden,1700,15095.410256410256,0.0687864030669876
Steenwijk,1700,1527.6410256410256,0.0806673604350598
Vlissingen,1700,6774.923076923077,0.1306325741232752
Middelburg,1700,28904.20512820512,0.08375943878275176
Veere,1700,1282.3076923076924,0.1848430313937213
Zaandam,1700,11262.794871794871,0.0757178730059715
Alkmaar,1700,12562.666666666668,0.07726597325408627
Enkhuizen,1700,14340.076923076922,0.10703193309766594
Antwerpen,1710,60939.56756756757,0.07307505353110122
Ieper,1710,12712.270270270268,0.08181922551950223
Duinkerken,1710,13434.702702702702,0.08494942504687335
Brugge,1710,32797.270270270266,0.07333751408118167
Gent,1710,51588.86486486487,0.0766612111978909
Brussel,1710,81341.99999999997,0.08220413376421298
Leuven,1710,14642.675675675673,0.07364441958806048
Amsterdam,1710,206102.35135135136,0.05439150083788072
Den Haag,1710,29102.216216216217,0.08888707277796258
Rotterdam,1710,28952.918918918924,0.09024063297543648
Haarlem,1710,40941.08108108108,0.06709245983021091
Utrecht,1710,27713.702702702696,0.11431070784576222
Hoorn,1710,13726.108108108108,0.09146507149523697
Dordrecht,1710,18893.216216216213,0.09139845704664477
Deventer,1710,7449.918918918919,0.11475546623035976
Leiden,1710,55126.91891891892,0.06789786321098844
Delft,1710,21808.675675675673,0.0913621036012198
Groningen,1710,19893.864864864867,0.07626281632392463
Zwolle,1710,12708.378378378377,0.07775887369473193
Heerenveen,1710,1218.5675675675675,0.06611661898108097
Woerden,1710,2841.3783783783774,0.08991639002767969
Dokkum,1710,3043.6216216216217,0.06628838332711738
Gouda,1710,17998.864864864867,0.09045915808504447
Gorinchem,1710,6571.4324324324325,0.09127550453848148
Leeuwarden,1710,14512.62162162162,0.06635044611680031
Steenwijk,1710,1547.8108108108108,0.07824477465993834
Vlissingen,1710,6950.540540540541,0.11703542403857378
Middelburg,1710,28972.72972972973,0.07959675034585172
Veere,1710,1314.6756756756756,0.17272783339843345
Zaandam,1710,11835.91891891892,0.06608377157027748
Alkmaar,1710,12649.729729729732,0.0667592513460388
Enkhuizen,1710,13973.405405405407,0.09262576013121471
Antwerpen,1720,57568.26190476191,0.06966925806919907
Ieper,1720,12711.190476190477,0.07715736040609149
Duinkerken,1720,13771.404761904761,0.0794071220731709
Brugge,1720,31898.90476190476,0.06954485674235711
Gent,1720,50826.11904761905,0.07249881364896286
Brussel,1720,78999.00000000001,0.07812274899200056
Leuven,1720,14614.214285714284,0.06950832278424282
Amsterdam,1720,212226.80952380956,0.0496387176073758
Den Haag,1720,30787.33333333334,0.07715448839504203
Rotterdam,1720,30548.428571428572,0.07794181603916978
Haarlem,1720,39283.95238095238,0.06143305820988323
Utrecht,1720,27890.61904761904,0.0978268849570518
Hoorn,1720,13675.357142857143,0.08014938236139033
Dordrecht,1720,19144.928571428572,0.0795374132401096
Deventer,1720,7533.380952380952,0.09815677524162297
Leiden,1720,53066.2857142857,0.06339196620219803
Delft,1720,21806.857142857145,0.07985583390108823
Groningen,1720,20407.38095238095,0.07856517833183602
Zwolle,1720,12291.42857142857,0.07416705408337208
Heerenveen,1720,1272.6190476190475,0.06089803554724024
Woerden,1720,2976.4523809523807,0.07757717320875795
Dokkum,1720,2993.8571428571427,0.0621590240333381
Gouda,1720,18393.857142857145,0.079360086571345
Gorinchem,1720,6615.380952380952,0.07963404187931444
Leeuwarden,1720,14350.928571428572,0.06228068865628402
Steenwijk,1720,1550.2619047619046,0.07390456297706985
Vlissingen,1720,7152.4285714285725,0.10016910673031479
Middelburg,1720,28675.40476190476,0.07518721452846183
Veere,1720,1352.142857142857,0.15824969184715612
Zaandam,1720,12450.0,0.057408682348441396
Alkmaar,1720,12851.380952380952,0.06104772879697933
Enkhuizen,1720,13459.761904761905,0.08166138932621024
Antwerpen,1730,52434.80487804878,0.06910044389618318
Ieper,1730,12577.804878048777,0.07423839903818161
Duinkerken,1730,14231.19512195122,0.07510638771918099
